;Sol. 0;Sol. 1;Sol. 2;Sol. 3;Sol. 4;Sol. 5;Sol. 6;Sol. 7;Sol. 8;Sol. 9;Sol. 10;Sol. 11;Sol. 12;Sol. 13;Sol. 14;Sol. 15;Sol. 16;Sol. 17;Sol. 18;Sol. 19;
Sol. 0;161051;84093.3;129921;111512;126750;974.496;65527.3;153180;34943.4;102481;-8908.27;71252.2;128419;76171.4;108536;73342;37840.8;27865.8;44452.9;131189;
Sol. 1;;160271;140925;123189;130818;4289.69;91218.4;134466;61523.4;115630;40742.6;59031.7;160031;97040.3;116078;48391.3;51061.9;76938.4;99219.9;142687;
Sol. 2;;;245871;166664;186463;1885.19;87599;201245;39732.8;185182;71849.5;60013.3;207756;124935;153991;91602.2;55010;69912.8;108789;201121;
Sol. 3;;;;145214;146704;778.725;80151;163233;43386.5;130267;39653.7;56774.1;167552;97732;136419;65860.5;44784;60645.3;86129.9;155893;
Sol. 4;;;;;171874;1933.75;81755.5;177357;42102.4;143100;49889.3;61428.9;188326;121566;139795;67018;53826.3;64693.1;91218.4;173216;
Sol. 5;;;;;;740.987;2400.24;432.991;4121.99;2362.39;591.397;2614.73;3115.57;-831.993;1862.48;-2530.21;405.381;2369.82;2409.57;3040.53;
Sol. 6;;;;;;;80589.9;80644.7;45488.5;72462.4;10218.6;48035.9;98182.2;40368.7;77073.2;36588.9;22203;46692.8;60018.5;77977.1;
Sol. 7;;;;;;;;220294;37067.2;156820;48502.5;66186.2;208466;135648;160535;95549.3;54480.5;58159.8;90571.2;198431;
Sol. 8;;;;;;;;;60353.8;40756.1;-832.001;33581.6;63771.4;-12648.7;43978.5;-16540.1;12071.7;25515.4;29909.5;45224.2;
Sol. 9;;;;;;;;;;160373;54914.3;47825.9;174979;97508.5;116580;64650.9;45796.9;63913.9;89650.8;162505;
Sol. 10;;;;;;;;;;;63720.2;-6607.13;63428.8;57097.3;38507.4;7086.75;17692;31358.1;43969.3;69148.9;
Sol. 11;;;;;;;;;;;;47987.8;64318.7;27800.1;59903.1;29792.9;15837.4;21805.7;29384.5;60773.5;
Sol. 12;;;;;;;;;;;;;245395;130423;162143;68939.8;55927.9;80777.6;109976;200869;
Sol. 13;;;;;;;;;;;;;;171913;99619.6;74107.7;55451.1;62936.2;82028.4;141809;
Sol. 14;;;;;;;;;;;;;;;150966;58152.6;44204.1;53874.7;77731.2;150735;
Sol. 15;;;;;;;;;;;;;;;;100233;19013.2;16132.7;35458.2;61373.2;
Sol. 16;;;;;;;;;;;;;;;;;33891.6;26886.7;36252.5;57614.6;
Sol. 17;;;;;;;;;;;;;;;;;;54664.2;65643.4;79232.5;
Sol. 18;;;;;;;;;;;;;;;;;;;87326.7;109613;
Sol. 19;;;;;;;;;;;;;;;;;;;;221829;
